GeneIds,Gene,TA003_ntCtrl_O2_1,TA003_ntCtrl_O2_2,TA012_ntCtrl_O2,TA020_ntCtrl_O2,TA034_ntCtrl_O2_1,TA034_ntCtrl_O2_2,TA039_ntCtrl_O2,TA003_ntCtrl_RA_1,TA003_ntCtrl_RA_2,TA012_ntCtrl_RA,TA020_ntCtrl_RA,TA034_ntCtrl_RA_1,TA034_ntCtrl_RA_2,TA039_ntCtrl_RA
ENSG00000289610.2,lncRNA*43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000157870.17,PRXL2B,670,1110,780,1304,1406,1489,904,975,1205,1185,1900,1275,1310,770
ENSG00000142606.16,MMEL1,13,8,5,27,13,22,12,21,16,14,63,19,27,10
ENSG00000237058.1,MMEL1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000215912.13,TTC34,5,19,1,1,2,4,8,11,9,4,9,4,0,0
ENSG00000285945.1,lncRNA*44,0,6,0,0,0,0,0,1,4,0,0,0,0,0
ENSG00000283259.1,lncRNA*45,1,8,0,0,0,0,5,10,11,0,0,0,0,0
ENSG00000233234.1,lncRNA*46,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000287396.1,lncRNA*47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231630.1,lncRNA*48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284745.1,lncRNA*49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169717.7,ACTRT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000177133.14,PRDM16-DT,7,24,0,4,6,4,25,14,16,0,2,7,2,11
ENSG00000142611.17,PRDM16,95,267,1,7,14,37,280,228,305,2,7,16,18,88
ENSG00000283572.1,MIR4251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226286.1,lncRNA*50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279839.1,TEC*1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000272235.1,lncRNA*51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000287828.1,lncRNA*52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286518.1,lncRNA*53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000130762.15,ARHGEF16,383,769,538,1119,1015,1154,766,789,883,830,1502,915,1085,484
ENSG00000272088.1,lncRNA*54,1,7,5,20,3,7,3,5,7,6,7,4,6,3
ENSG00000162591.17,MEGF6,135,220,177,258,100,137,182,281,401,281,623,188,175,268
ENSG00000207776.1,MIR551A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238260.3,lncRNA*55,0,12,4,3,1,2,4,7,10,1,11,1,2,0
ENSG00000158109.15,TPRG1L,1836,1333,1094,1629,1379,1574,1391,1737,1840,1873,1941,1557,1578,1798
ENSG00000116213.16,WRAP73,412,513,342,557,372,429,495,518,621,539,687,405,460,352
ENSG00000078900.15,TP73,39,695,93,903,142,176,647,799,873,128,1072,126,173,41
ENSG00000227589.1,TP73-AS3,0,1,1,0,0,0,0,2,1,0,0,0,0,0
ENSG00000235131.1,TP73-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227372.12,TP73-AS1,336,490,433,480,316,369,407,423,539,615,496,311,397,321
ENSG00000276189.1,misc_RNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162592.10,CCDC27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235169.11,SMIM1,7,12,6,21,11,9,13,8,11,12,14,12,10,4
ENSG00000130764.10,LRRC47,782,1209,783,1277,1128,1124,1073,1150,1340,1227,1577,1160,1149,994
ENSG00000266075.2,RN7SL574P,0,1,0,0,4,0,0,0,0,1,3,1,0,0
ENSG00000272153.1,lncRNA*56,0,0,0,2,0,0,1,0,0,0,0,1,1,0
ENSG00000116198.14,CEP104,995,883,743,1064,998,1058,1016,974,1090,1254,1031,917,953,963
ENSG00000169598.17,DFFB,49,90,51,184,66,55,92,70,74,82,187,85,76,45
ENSG00000198912.12,C1orf174,407,454,412,551,488,494,400,394,465,537,710,407,495,447
ENSG00000236423.8,LINC01134,8,30,10,23,11,13,14,12,21,19,11,12,10,15
ENSG00000233304.7,LINC01346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226374.3,LINC01345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284668.2,LINC02780,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284703.1,lncRNA*57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229280.1,EEF1DP6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000235054.4,LINC01777,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284694.1,lncRNA*58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227169.2,lncRNA*59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232596.3,LINC01646,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196581.11,AJAP1,6,0,0,21,7,16,0,2,0,2,53,16,25,2
ENSG00000287586.1,lncRNA*60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284739.1,lncRNA*61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284674.1,LINC02781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231510.1,LINC02782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284616.1,lncRNA*62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284692.2,lncRNA*63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284666.1,lncRNA*64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000260972.1,lncRNA*65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283356.1,unprocessed_pseudogene*1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236948.2,lncRNA*66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264341.1,miRNA*1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000289893.1,lncRNA*67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264101.1,MIR4689,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ENSG00000131697.18,NPHP4,198,210,108,197,168,250,191,295,377,197,224,225,234,178
ENSG00000069424.16,KCNAB2,13,75,18,68,14,10,49,55,71,22,64,7,21,5
ENSG00000116254.18,CHD5,11,7,3,9,10,4,7,5,8,5,5,11,6,16
ENSG00000285629.1,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000116251.11,RPL22,1212,1754,1095,2029,1711,1766,2019,1652,1919,1561,1947,1196,1245,1225
ENSG00000226944.1,RNF207-AS1,4,6,6,8,2,3,9,5,10,14,18,3,5,17
ENSG00000158286.13,RNF207,367,1283,1000,1278,545,799,742,829,1345,2129,1951,411,597,815
ENSG00000116237.16,ICMT,2516,2872,2047,3475,2696,2841,3302,3913,4474,3152,3497,2848,3155,2127
ENSG00000225077.3,ICMT-DT,4,1,0,0,1,4,1,2,0,5,5,1,8,4
ENSG00000173673.9,HES3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000158292.7,GPR153,1246,918,975,881,1042,1242,1075,1304,1491,1748,1409,1436,1487,1592
ENSG00000097021.21,ACOT7,1390,945,799,995,987,1046,1160,1014,1125,1327,1260,990,1027,1485
ENSG00000271746.1,lncRNA*68,2,4,8,1,0,1,2,0,4,1,3,1,1,6
ENSG00000069812.11,HES2,3105,828,1904,1570,1424,1787,977,906,1117,2726,2004,1864,1952,3124
ENSG00000187017.18,ESPN,490,694,755,616,275,371,602,898,1052,891,1272,268,396,507
ENSG00000265392.1,MIR4252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231868.1,lncRNA*69,0,1,0,0,0,0,0,2,0,0,1,1,0,0
ENSG00000215788.11,TNFRSF25,323,429,400,635,459,538,367,312,547,635,739,242,450,389
ENSG00000171680.23,PLEKHG5,695,880,581,1092,786,826,781,745,922,1176,1500,650,866,766
ENSG00000162408.11,NOL9,377,406,296,550,376,379,414,397,483,553,408,325,351,413
ENSG00000253022.1,RNU6-731P,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229519.2,processed_pseudogene*4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000173662.21,TAS1R1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000204859.13,ZBTB48,322,512,321,431,380,427,469,440,539,458,602,322,391,347
ENSG00000162413.17,KLHL21,1255,1247,1129,1872,1615,1604,1329,1641,1855,1882,2111,1544,1402,1395
ENSG00000116273.6,PHF13,355,329,321,465,347,383,402,392,484,442,556,366,387,314
ENSG00000041988.16,THAP3,187,221,152,266,260,268,178,213,261,210,321,264,281,135
ENSG00000007923.17,DNAJC11,1827,1655,1238,2362,1603,1708,1728,1751,2160,2171,2445,1567,1706,1846
ENSG00000228750.7,LINC01672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284744.1,lncRNA*70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237436.1,CAMTA1-DT,0,8,3,4,6,2,4,7,2,4,5,2,3,0
ENSG00000171735.21,CAMTA1,464,451,466,496,468,494,490,546,584,646,646,586,544,529
ENSG00000227950.1,processed_pseudogene*5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237365.1,CAMTA1-AS3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207056.1,RNU1-8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237402.1,CAMTA1-IT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237728.2,CAMTA1-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
